GAME_ID,VISITOR_TEAM_ID,HOME_TEAM_ID,TEAM_A,TEAM_H,GAME_DATE_EST,SEASON,Spread,Total,OREB,PTS_home,FT_PCT_home,AST_home,PTS_away,FT_PCT_away,AST_away,FTA_H,STL_H,BLK_H,PF_H,FTA_A,STL_A,BLK_A,PF_A,POSS_H,POSS_A,eFG_PCT_H,eFG_PCT_A,TO_PCT_H,TO_PCT_A,DREB_PCT_H,DREB_PCT_A,W_PCT_H,W_PCT_A
20900727,1610612766,1610612747,Charlotte,L.A. Lakers,2/3/10,2009,2,196,34,99,0.75,24,97,0.773,15,20,9,4,23,22,4,3,19,80.448,83.2128,0.499720238,0.487585366,0.087012729,0.156225965,0.55,0.627906977,0.76,0.5
20900728,1610612757,1610612762,Portland,Utah,2/3/10,2009,13,223,20,118,0.906,32,105,0.821,17,32,6,7,19,28,7,1,23,83.5968,87.6672,0.664350746,0.470971264,0.119621804,0.091254198,0.659574468,0.846153846,0.625,0.569
20900729,1610612748,1610612739,Miami,Cleveland,2/4/10,2009,16,188,26,102,0.806,16,86,0.714,21,36,9,7,16,14,8,4,23,85.2864,87.5136,0.521714286,0.43695977,0.164152784,0.14854834,0.680851064,0.694444444,0.784,0.48
20900730,1610612759,1610612757,San Antonio,Portland,2/4/10,2009,3,189,20,96,0.667,30,93,0.682,18,18,4,2,20,22,6,4,18,82.4832,86.0928,0.552513158,0.463779762,0.145484171,0.069692239,0.777777778,0.722222222,0.577,0.583
20900731,1610612765,1610612754,Detroit,Indiana,2/5/10,2009,24,190,25,107,0.789,22,83,0.786,10,19,8,4,17,14,10,5,18,88.6656,87.5136,0.582227848,0.414011494,0.180453299,0.137121545,0.72,0.717948718,0.36,0.333
20900732,1610612764,1610612753,Washington,Orlando,2/5/10,2009,-1,183,17,91,0.8,16,92,0.909,12,25,9,3,21,22,3,4,26,93.12,94.7328,0.428144578,0.455341772,0.118127148,0.200564113,0.785714286,0.843137255,0.66,0.347
20900733,1610612751,1610612738,New Jersey,Boston,2/5/10,2009,9,183,15,96,0.76,26,87,0.815,15,25,6,1,19,27,5,2,18,84.48,83.4048,0.5346875,0.477823529,0.142045455,0.179845764,0.783783784,0.78125,0.667,0.082
20900734,1610612749,1610612752,Milwaukee,New York,2/5/10,2009,-7,221,26,107,0.759,18,114,0.8,21,29,5,8,20,20,6,4,23,92.8896,95.808,0.488229885,0.532391304,0.118420146,0.114812959,0.707317073,0.70212766,0.388,0.458
20900735,1610612741,1610612737,Chicago,Atlanta,2/5/10,2009,10,172,23,91,0.455,21,81,0.75,15,11,5,2,21,20,3,3,10,83.3664,86.208,0.488409091,0.434,0.095961922,0.162397921,0.769230769,0.688888889,0.653,0.479
20900736,1610612745,1610612763,Houston,Memphis,2/5/10,2009,-18,184,30,83,0.7,15,101,0.762,20,20,10,11,23,21,9,9,19,94.848,89.5104,0.410946429,0.477325843,0.179234143,0.156406406,0.558139535,0.738095238,0.531,0.551
20900737,1610612755,1610612740,Philadelphia,New Orleans,2/5/10,2009,-7,195,18,94,0.643,26,101,0.76,19,14,5,3,21,25,8,7,21,86.5536,89.28,0.53764557,0.519012658,0.138642413,0.156810036,0.725,0.833333333,0.52,0.367
20900738,1610612750,1610612742,Minnesota,Dallas,2/5/10,2009,-9,225,21,108,0.829,20,117,0.85,26,35,9,5,22,20,5,3,24,93.504,96.768,0.481914634,0.602228916,0.149726215,0.165343915,0.8,0.70212766,0.62,0.24
20900739,1610612756,1610612758,Phoenix,Sacramento,2/5/10,2009,-12,216,25,102,0.675,10,114,0.795,18,40,4,3,28,39,7,4,30,91.776,90.3936,0.462537037,0.531846154,0.119857043,0.110627301,0.717948718,0.70212766,0.327,0.596
20900740,1610612743,1610612747,Denver,L.A. Lakers,2/5/10,2009,-13,239,26,113,0.85,17,126,0.714,25,20,10,2,21,21,9,4,21,96.768,94.3104,0.489857143,0.660309524,0.124007937,0.137842698,0.789473684,0.647058824,0.745,0.68
20900741,1610612740,1610612766,New Orleans,Charlotte,2/6/10,2009,-5,203,12,99,0.667,29,104,0.81,20,27,9,2,14,21,5,4,21,90.1248,86.6304,0.526467532,0.564428571,0.122052975,0.11543292,0.828571429,0.837837838,0.49,0.529
20900742,1610612737,1610612764,Atlanta,Washington,3/11/10,2009,-6,204,29,99,0.909,20,105,0.6,22,22,9,1,23,25,11,6,22,88.0128,88.32,0.500335443,0.569677215,0.227239674,0.158514493,0.675675676,0.5,0.339,0.641
20900743,1610612752,1610612739,New York,Cleveland,2/6/10,2009,7,219,14,113,0.824,22,106,1,27,17,7,3,10,12,6,4,15,88.7808,86.6688,0.61875,0.602846154,0.146428057,0.149996308,0.806451613,0.771428571,0.788,0.38
20900744,1610612751,1610612765,New Jersey,Detroit,2/6/10,2009,7,191,20,99,0.714,29,92,0.762,21,21,8,8,18,21,8,5,17,81.8304,81.8304,0.575821918,0.51302027,0.158865165,0.146644768,0.722222222,0.714285714,0.347,0.08
20900745,1610612748,1610612741,Miami,Chicago,2/6/10,2009,4,186,20,95,0.8,16,91,0.842,19,35,9,7,16,19,6,8,23,93.504,91.5456,0.408097561,0.457640244,0.085557837,0.185699804,0.733333333,0.833333333,0.49,0.471
20900746,1610612763,1610612750,Memphis,Minnesota,2/6/10,2009,7,211,15,109,0.632,26,102,0.75,27,19,8,4,10,8,5,3,16,84.8256,91.6992,0.599209877,0.551517241,0.082522257,0.130862647,0.78125,0.783783784,0.255,0.52
20900747,1610612755,1610612745,Philadelphia,Houston,2/6/10,2009,-7,197,20,95,0.75,17,102,0.957,19,24,6,4,19,23,8,4,23,88.8576,86.5152,0.464216867,0.5555,0.15755546,0.150262613,0.838709677,0.693877551,0.54,0.38
20900748,1610612754,1610612749,Indiana,Milwaukee,2/6/10,2009,12,174,14,93,0.762,21,81,0.846,18,21,11,2,16,13,6,2,20,86.6304,86.1312,0.486936709,0.507434783,0.138519504,0.220593699,0.891891892,0.743589744,0.469,0.353
20900749,1610612743,1610612762,Denver,Utah,2/6/10,2009,10,222,21,116,0.775,27,106,0.824,14,40,10,8,26,34,7,8,29,95.616,103.6416,0.524851852,0.470096386,0.125502008,0.192972706,0.72972973,0.725,0.633,0.667
20900750,1610612747,1610612757,L.A. Lakers,Portland,2/6/10,2009,-17,181,14,82,0.789,20,99,0.6,24,19,5,3,18,15,8,2,16,82.9056,85.056,0.472239437,0.535613095,0.108557202,0.117569601,0.7,0.945945946,0.566,0.75
20900751,1610612760,1610612744,Oklahoma City,Golden State,2/6/10,2009,-9,199,24,95,0.619,23,104,0.917,22,21,7,3,22,24,16,4,23,102.9504,100.3776,0.465477273,0.455366667,0.213695139,0.159398113,0.75,0.755102041,0.265,0.58
20900752,1610612759,1610612746,San Antonio,L.A. Clippers,2/6/10,2009,-17,179,16,81,0.9,21,98,0.765,26,20,5,9,19,17,14,5,18,93.888,92.6208,0.41966,0.493976744,0.223670757,0.129560531,0.795454545,0.820512821,0.42,0.592
20900753,1610612758,1610612761,Sacramento,Toronto,2/7/10,2009,11,219,27,115,0.739,28,104,0.694,19,23,7,6,25,36,9,4,18,94.1952,91.0464,0.597591463,0.4644,0.159243783,0.131800928,0.625,0.756756757,0.549,0.32
20900754,1610612753,1610612738,Orlando,Boston,2/7/10,2009,-7,185,18,89,0.737,24,96,0.793,17,19,9,1,22,29,2,7,19,86.7456,85.2096,0.452168675,0.545089552,0.126807584,0.176036503,0.823529412,0.727272727,0.653,0.667
20900755,1610612740,1610612753,New Orleans,Orlando,2/8/10,2009,6,240,13,123,0.75,21,117,0.842,21,28,6,5,18,19,8,1,21,99.1872,96.3456,0.614361446,0.567561798,0.141147245,0.103793012,0.833333333,0.8125,0.673,0.519
20900756,1610612742,1610612744,Dallas,Golden State,2/8/10,2009,-10,244,17,117,0.862,28,127,0.891,33,29,7,3,25,46,8,1,19,97.6896,97.1904,0.541058824,0.60543662,0.153547563,0.164625313,0.828571429,0.75,0.26,0.627
20900757,1610612759,1610612747,San Antonio,L.A. Lakers,2/8/10,2009,12,190,22,101,0.731,20,89,0.833,17,26,4,7,13,18,4,6,24,91.6224,89.2032,0.471517241,0.451365854,0.098229254,0.145734682,0.76744186,0.727272727,0.755,0.58
20900758,1610612764,1610612766,Washington,Charlotte,2/9/10,2009,2,186,19,94,0.741,21,92,0.8,21,27,5,4,14,20,5,5,19,86.2848,84.288,0.500027027,0.469,0.139074321,0.106776765,0.755555556,0.777777778,0.5,0.34
20900759,1610612751,1610612739,New Jersey,Cleveland,2/9/10,2009,7,201,24,104,0.655,27,97,0.8,23,29,11,2,13,20,2,2,21,81.3696,79.488,0.574310811,0.547817568,0.110606418,0.163546699,0.648648649,0.65625,0.792,0.078
20900760,1610612741,1610612754,Chicago,Indiana,2/9/10,2009,-8,210,19,101,0.737,17,109,0.697,16,19,8,1,23,33,11,5,16,100.1856,99.3792,0.473,0.530716049,0.15970359,0.150937017,0.820512821,0.755102041,0.346,0.5
20900761,1610612750,1610612755,Minnesota,Philadelphia,2/9/10,2009,22,216,15,119,0.88,30,97,0.731,21,25,13,2,22,26,9,0,17,93.12,95.4624,0.6062375,0.513473684,0.150343643,0.199031242,0.815789474,0.757575758,0.392,0.25
20900762,1610612745,1610612748,Houston,Miami,2/9/10,2009,33,165,18,99,0.769,27,66,0.667,8,13,9,8,21,15,2,1,15,86.1312,90.816,0.563335443,0.325232558,0.104491752,0.176180409,0.75,0.891891892,0.481,0.529
20900763,1610612758,1610612752,Sacramento,New York,2/9/10,2009,-4,232,28,114,0.697,26,118,0.75,21,33,9,4,21,28,6,2,24,104.1792,101.1072,0.484175532,0.505416667,0.095988451,0.148357387,0.617021277,0.803921569,0.373,0.333
20900764,1610612737,1610612763,Atlanta,Memphis,2/9/10,2009,-14,202,20,94,0.833,22,108,0.76,25,12,9,3,17,25,10,3,17,83.7888,86.4,0.525025,0.601351351,0.143217232,0.173611111,0.6875,0.72972973,0.51,0.66
20900765,1610612765,1610612749,Detroit,Milwaukee,2/9/10,2009,-12,174,38,81,0.789,16,93,0.824,19,19,6,6,18,17,6,3,18,80.9856,81.1008,0.402609756,0.469785714,0.185218113,0.123303346,0.604651163,0.58,0.46,0.36
20900766,1610612742,1610612743,Dallas,Denver,2/9/10,2009,36,218,16,127,0.87,28,91,0.929,16,23,9,2,19,28,9,1,17,91.3152,93.4272,0.677607595,0.428006579,0.175217269,0.160552815,0.860465116,0.6875,0.673,0.615
20900767,1610612760,1610612757,Oklahoma City,Portland,2/9/10,2009,-12,166,21,77,0.857,18,89,0.786,16,14,6,3,20,28,17,6,21,89.4336,85.7472,0.422480519,0.45930137,0.245992558,0.151608449,0.795454545,0.727272727,0.556,0.588
20900768,1610612762,1610612746,Utah,L.A. Clippers,2/9/10,2009,-10,208,26,99,0.737,23,109,0.75,32,38,5,6,23,28,10,3,28,88.0512,89.5872,0.492722222,0.530126506,0.181712458,0.122785398,0.666666667,0.682926829,0.412,0.64
20900769,1610612748,1610612737,Miami,Atlanta,2/10/10,2009,-18,170,25,76,0.72,20,94,0.636,23,25,8,4,13,11,6,5,18,81.6,79.5264,0.402840278,0.53691358,0.171568627,0.125744407,0.638888889,0.714285714,0.647,0.491
20900770,1610612755,1610612761,Philadelphia,Toronto,2/10/10,2009,11,197,20,104,0.677,23,93,0.864,17,31,11,3,15,22,13,7,26,96.6144,96.6528,0.488664706,0.456716049,0.134555511,0.196579923,0.780487805,0.760869565,0.558,0.385
20900771,1610612758,1610612765,Sacramento,Detroit,2/10/10,2009,-6,200,26,97,0.889,20,103,0.783,25,27,11,4,18,23,8,7,23,91.0848,88.4352,0.424459302,0.559085526,0.131745363,0.192231148,0.702702703,0.666666667,0.353,0.346
20900772,1610612749,1610612751,Milwaukee,New Jersey,2/10/10,2009,-20,174,22,77,0.682,16,97,0.417,28,22,8,1,19,12,7,9,20,86.0928,88.5888,0.419006757,0.534918605,0.174230598,0.158033521,0.704545455,0.790697674,0.077,0.471
20900773,1610612753,1610612741,Orlando,Chicago,2/10/10,2009,-20,194,18,87,0.826,18,107,0.84,22,23,7,4,17,25,7,6,20,96.1152,95.04,0.39104023,0.543949367,0.135254361,0.178872054,0.794871795,0.811320755,0.49,0.679
20900774,1610612766,1610612750,Charlotte,Minnesota,2/10/10,2009,-1,185,20,92,0.556,22,93,0.667,22,9,9,3,16,18,6,7,13,84.4416,85.3632,0.511994118,0.539986667,0.106582538,0.187434398,0.705882353,0.777777778,0.245,0.51
20900775,1610612738,1610612740,Boston,New Orleans,2/10/10,2009,8,178,14,93,0.81,22,85,0.593,20,21,10,5,18,27,12,5,20,94.3104,96.8448,0.50628,0.478944444,0.243875543,0.227167592,0.88372093,0.780487805,0.528,0.64
