NBA Total Projections,,,,,,,,,,,,,,
Stats,Home,Away,Weight Total H,Weight Total A,,,Weight Spread H,Weight Spread A,,,Weight OREB H,Weight OREB A,,
Team,LA Lakers,Memphis,,,,,,,,,,,,
Assists Per Game TY,28.2,24.7,0,0,0,0,,,0,0,,,0,0
Assists Per Game L3,25.3,20.7,0,0,0,0,,,0,0,,0.017633546,0,0.365014402
Assists Per Game H/A,28.8,25.1,0,0,0,0,,,0,0,,,0,0
Opp Assists Per Game TY,28.2,26.6,0,0,0,0,,,0,0,,,0,0
Opp Assists Per Game L3,28.3,28,0,0,0,0,-0.103666887,0.049176553,-2.933772902,1.376943484,,,0,0
Opp Assists Per Game H/A,28.3,27.9,0.077091625,0.362325068,2.181692988,10.1088694,-0.072106521,0.042637047,-2.040614544,1.189573611,,0.034982158,0,0.976002208
,0,0,0,0,0,0,,,0,0,,,0,0
Free Throw % TY,78.20%,76.40%,0,0,0,0,,,0,0,-8.174492558,,-6.39245318,0
Free Throw % L3,72.60%,82.80%,2.762910482,0,2.00587301,0,1.170784287,,0.849989392,0,,-0.896461835,0,-0.742270399
Free Throw % H/A,79.00%,77.80%,13.55807381,0,10.71087831,0,,-4.242103743,0,-3.300356712,,,0,0
Opp Free Throw % TY,80.00%,77.90%,0,0,0,0,,,0,0,,-0.95516359,0,-0.744072437
Opp Free Throw % L3,85.70%,77.50%,0.260591065,2.307009591,0.223326543,1.787932433,,,0,0,,,0,0
Opp Free Throw % H/A,78.80%,77.90%,0,-13.77410523,0,-10.73002797,,,0,0,,,0,0
,0,0,0,0,0,0,,,0,0,,,0,0
Free Throws Attempted TY,24.1,21,0,0,0,0,,,0,0,,,0,0
Free Throws Attempted L3,20.7,19.3,0.135752684,0.066740442,2.810080559,1.288090531,0.077608842,-0.025032657,1.606503029,-0.48313028,0.007307369,0.000632629,0.151262538,0.01220974
